## [iView]
## Converted from:	D:\MatlabFiles\Eyetracking&Matlab\SampleScript\Data\Pilot_CvS_23.idf
## Date:	23.02.2011 12:33:28
## Version:	IDF Converter 3.0.9
## Sample Rate:	1250
## [Run]
## Subject:	test                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	23258                                                                                                                                                                                                                                                           
## Reversed:	none
## Format:	RIGHT, RAW, DIAMETER, CR, POR, QUALITY, MSG
## 
Time	Type	Trial	R Raw X [px]	R Raw Y [px]	R Dia X [px]	R Dia Y [px]	R CR1 X [px]	R CR1 Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency
533617451514	SMP	2	141.52	60.85	31.00	30.00	145.60	62.18	858.07	613.51	0	1009
533617452315	SMP	2	141.46	60.83	31.00	30.00	145.56	62.19	857.03	613.21	0	994
533617453115	SMP	2	141.48	60.86	31.00	30.00	145.56	62.20	856.96	613.45	0	1006
533617453914	SMP	2	141.46	60.88	29.00	29.00	145.56	62.20	856.39	614.18	0	993
533617454716	SMP	2	141.59	60.86	30.00	30.00	145.54	62.18	859.44	614.43	0	1005
533617455515	SMP	2	141.46	60.85	30.00	30.00	145.52	62.20	858.74	614.19	0	997
533617456315	SMP	2	141.41	60.90	30.00	30.00	145.51	62.18	857.71	615.18	0	1005
533617457115	SMP	2	141.44	60.90	29.00	30.00	145.53	62.19	857.28	615.78	0	1019
533617457916	SMP	2	141.38	60.79	30.00	30.00	145.50	62.19	855.89	614.02	0	1019
533617458715	SMP	2	141.46	60.82	30.00	29.00	145.50	62.20	856.71	613.24	0	994
533617459515	SMP	2	141.34	60.84	31.00	30.00	145.48	62.16	855.62	613.61	0	1012
533617460314	SMP	2	141.37	60.84	30.00	30.00	145.46	62.16	855.85	614.04	0	995
533617461115	SMP	2	141.39	60.85	29.00	29.00	145.43	62.14	857.23	615.31	0	1005
533617461914	SMP	2	141.33	60.88	30.00	30.00	145.41	62.16	857.06	616.09	0	997
533617462715	SMP	2	141.26	60.80	30.00	30.00	145.42	62.14	855.58	615.62	0	1007
533617463514	SMP	2	141.35	60.86	29.00	30.00	145.43	62.15	855.98	615.98	0	994
533617464316	SMP	2	141.34	60.81	30.00	29.00	145.40	62.17	856.49	614.92	0	1011
533617465115	SMP	2	141.27	60.95	30.00	30.00	145.41	62.15	855.80	617.33	0	994
533617465916	SMP	2	141.22	60.91	29.00	29.00	145.38	62.16	854.79	618.02	0	1004
533617466715	SMP	2	141.27	60.97	30.00	30.00	145.36	62.18	855.29	619.34	0	993
533617467516	SMP	2	141.19	60.91	30.00	30.00	145.34	62.13	854.59	619.85	0	1006
533617468314	SMP	2	141.24	60.94	30.00	30.00	145.31	62.18	855.86	619.35	0	1002
533617469116	SMP	2	141.14	60.92	30.00	29.00	145.34	62.16	853.94	619.15	0	1005
533617469914	SMP	2	141.15	60.90	30.00	30.00	145.30	62.17	853.72	618.30	0	997
533617470715	SMP	2	141.17	60.94	30.00	30.00	145.28	62.17	854.32	618.63	0	1011
533617471515	SMP	2	141.14	60.93	30.00	30.00	145.24	62.16	854.93	619.09	0	996
533617472315	SMP	2	141.19	60.84	30.00	31.00	145.20	62.13	857.49	618.23	0	1014
533617473116	SMP	2	141.22	60.92	30.00	30.00	145.21	62.16	859.55	618.39	0	1010
533617473915	SMP	2	141.15	60.83	30.00	30.00	145.18	62.13	859.80	617.42	0	1040
533617474716	SMP	2	141.11	60.90	30.00	30.00	145.16	62.09	859.68	618.89	0	1019
533617475517	SMP	2	141.09	60.92	30.00	30.00	145.13	62.11	859.33	620.07	0	1011
533617476314	SMP	2	141.09	60.93	30.00	30.00	145.09	62.07	859.91	621.90	0	1004
533617477114	SMP	2	141.04	60.83	30.00	29.00	145.08	62.12	859.90	619.91	0	1015
533617477914	SMP	2	141.08	60.88	30.00	30.00	145.09	62.14	860.27	618.87	0	997
533617478716	SMP	2	140.99	60.87	30.00	29.00	145.07	62.13	859.16	618.08	0	1013
533617479516	SMP	2	141.04	60.90	29.00	29.00	145.06	62.11	859.19	618.60	0	1005
533617480317	SMP	2	141.05	60.89	30.00	30.00	145.03	62.12	860.32	619.09	0	1021
533617481117	SMP	2	141.00	60.95	30.00	30.00	145.03	62.14	860.01	620.02	0	1005
533617481919	SMP	2	140.99	60.85	30.00	29.00	145.02	62.13	860.00	619.10	0	1011
533617482715	SMP	2	140.93	60.91	30.00	30.00	145.03	62.12	858.50	619.47	0	998
533617483517	SMP	2	140.99	60.86	30.00	29.00	145.02	62.14	858.60	618.43	0	1009
533617484316	SMP	2	140.93	60.79	30.00	29.00	145.02	62.13	857.85	616.41	0	991
533617485115	SMP	2	140.90	60.90	30.00	30.00	145.02	62.11	856.65	618.04	0	1010
533617485915	SMP	2	140.90	60.94	30.00	30.00	145.02	62.11	855.92	619.94	0	998
533617486716	SMP	2	140.92	60.96	30.00	31.00	145.00	62.09	855.96	622.25	0	1002
533617487515	SMP	2	140.91	60.91	30.00	30.00	145.02	62.11	855.90	622.15	0	996
533617488315	SMP	2	140.82	60.89	30.00	30.00	145.01	62.12	854.24	621.22	0	1005
533617489115	SMP	2	140.94	60.90	30.00	29.00	145.02	62.09	855.39	621.09	0	994
533617489915	SMP	2	140.84	60.87	30.00	30.00	145.00	62.10	854.28	620.33	0	1013
533617490714	SMP	2	140.88	60.91	30.00	30.00	145.01	62.10	854.57	620.63	0	999
533617491515	SMP	2	140.88	60.89	30.00	30.00	145.01	62.10	854.89	620.64	0	1029
533617492317	SMP	2	140.93	60.84	30.00	29.00	145.00	62.10	855.74	619.53	0	1019
